,Title,Price,Availability,Rating,Product Page,Genre,Rating_Numeric
0,It's Only the Himalayas,45.17,In stock,Two,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Travel,2
1,Full Moon over Noah's Ark: An Odyssey to Mount Ararat and Beyond,49.43,In stock,Four,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Travel,4
2,See America: A Celebration of Our National Parks & Treasured Sites,48.87,In stock,Three,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Travel,3
3,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,In stock,Two,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Travel,2
4,Under the Tuscan Sun,37.33,In stock,Three,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,Travel,3
5,A Summer In Europe,44.34,In stock,Two,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,Travel,2
6,The Great Railway Bazaar,30.54,In stock,One,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,Travel,1
7,A Year in Provence (Provence #1),56.88,In stock,Four,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,Travel,4
8,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,In stock,One,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,Travel,1
9,Neither Here nor There: Travels in Europe,38.95,In stock,Three,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Travel,3
10,"1,000 Places to See Before You Die",26.08,In stock,Five,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,Travel,5
11,Sharp Objects,47.82,In stock,Four,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Mystery,4
12,"In a Dark, Dark Wood",19.63,In stock,One,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,Mystery,1
13,The Past Never Ends,56.5,In stock,Four,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Mystery,4
14,A Murder in Time,16.64,In stock,One,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,Mystery,1
15,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,In stock,Four,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Mystery,4
16,The Last Mile (Amos Decker #2),54.21,In stock,Two,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,Mystery,2
17,That Darkness (Gardiner and Renner #1),13.92,In stock,One,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,Mystery,1
18,Tastes Like Fear (DI Marnie Rome #3),10.69,In stock,One,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,Mystery,1
19,A Time of Torment (Charlie Parker #14),48.35,In stock,Five,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,Mystery,5
20,A Study in Scarlet (Sherlock Holmes #1),16.73,In stock,Two,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Mystery,2
21,Poisonous (Max Revere Novels #3),26.8,In stock,Three,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,Mystery,3
22,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,In stock,Four,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Mystery,4
23,Most Wanted,35.28,In stock,Three,https://books.toscrape.com/catalogue/most-wanted_623/index.html,Mystery,3
